date_added,date_id,year,month,month_name,day,day_of_week,day_name,quarter
2017-02-01,271,2017,2,February,1,2,Wednesday,1
2017-02-02,272,2017,2,February,2,3,Thursday,1
2017-02-03,273,2017,2,February,3,4,Friday,1
2017-02-04,274,2017,2,February,4,5,Saturday,1
2017-02-05,275,2017,2,February,5,6,Sunday,1
2017-02-07,276,2017,2,February,7,1,Tuesday,1
2017-02-08,277,2017,2,February,8,2,Wednesday,1
2017-02-10,278,2017,2,February,10,4,Friday,1
2017-02-11,279,2017,2,February,11,5,Saturday,1
2017-02-12,280,2017,2,February,12,6,Sunday,1
2017-02-14,281,2017,2,February,14,1,Tuesday,1
2017-02-15,282,2017,2,February,15,2,Wednesday,1
2017-02-16,283,2017,2,February,16,3,Thursday,1
2017-02-17,284,2017,2,February,17,4,Friday,1
2017-02-19,285,2017,2,February,19,6,Sunday,1
2017-02-20,286,2017,2,February,20,0,Monday,1
2017-02-21,287,2017,2,February,21,1,Tuesday,1
2017-02-22,288,2017,2,February,22,2,Wednesday,1
2017-02-23,289,2017,2,February,23,3,Thursday,1
2017-02-24,290,2017,2,February,24,4,Friday,1
2017-02-25,291,2017,2,February,25,5,Saturday,1
2017-02-26,292,2017,2,February,26,6,Sunday,1
2017-02-27,293,2017,2,February,27,0,Monday,1
2017-02-28,294,2017,2,February,28,1,Tuesday,1
2017-03-01,295,2017,3,March,1,2,Wednesday,1
2017-03-02,296,2017,3,March,2,3,Thursday,1
2017-03-03,297,2017,3,March,3,4,Friday,1
2017-03-04,298,2017,3,March,4,5,Saturday,1
2017-03-07,299,2017,3,March,7,1,Tuesday,1
2017-03-08,300,2017,3,March,8,2,Wednesday,1
2017-03-09,301,2017,3,March,9,3,Thursday,1
2017-03-10,302,2017,3,March,10,4,Friday,1
2017-03-14,303,2017,3,March,14,1,Tuesday,1
2017-03-15,304,2017,3,March,15,2,Wednesday,1
2017-03-16,305,2017,3,March,16,3,Thursday,1
2017-03-17,306,2017,3,March,17,4,Friday,1
2017-03-18,307,2017,3,March,18,5,Saturday,1
2017-03-20,308,2017,3,March,20,0,Monday,1
2017-03-21,309,2017,3,March,21,1,Tuesday,1
2017-03-23,310,2017,3,March,23,3,Thursday,1
2017-03-24,311,2017,3,March,24,4,Friday,1
2017-03-28,312,2017,3,March,28,1,Tuesday,1
2017-03-30,313,2017,3,March,30,3,Thursday,1
2017-03-31,314,2017,3,March,31,4,Friday,1
2017-04-01,315,2017,4,April,1,5,Saturday,2
2017-04-02,316,2017,4,April,2,6,Sunday,2
2017-04-04,317,2017,4,April,4,1,Tuesday,2
2017-04-06,318,2017,4,April,6,3,Thursday,2
2017-04-07,319,2017,4,April,7,4,Friday,2
2017-04-08,320,2017,4,April,8,5,Saturday,2
2017-04-10,321,2017,4,April,10,0,Monday,2
2017-04-11,322,2017,4,April,11,1,Tuesday,2
2017-04-12,323,2017,4,April,12,2,Wednesday,2
2017-04-14,324,2017,4,April,14,4,Friday,2
2017-04-15,325,2017,4,April,15,5,Saturday,2
2017-04-16,326,2017,4,April,16,6,Sunday,2
2017-04-18,327,2017,4,April,18,1,Tuesday,2
2017-04-19,328,2017,4,April,19,2,Wednesday,2
2017-04-20,329,2017,4,April,20,3,Thursday,2
2017-04-21,330,2017,4,April,21,4,Friday,2
2017-04-22,331,2017,4,April,22,5,Saturday,2
2017-04-23,332,2017,4,April,23,6,Sunday,2
