content_key,country_id
1212,111
1213,111
1214,116
1216,111
1217,111
1218,115
1219,116
1220,111
1221,103
1221,5
1222,47
1223,116
1224,37
1227,39
1228,46
1229,46
1229,115
1229,37
1229,89
1230,34
1231,46
1232,116
1233,25
1234,78
1235,103
1237,37
1238,47
1239,116
1239,7
1240,116
1241,116
1242,116
1243,116
1244,116
1245,46
1246,116
1249,116
1252,116
1252,115
1253,39
1254,116
1255,116
1257,116
1257,39
1258,54
1259,13
1259,37
1260,116
1261,103
1262,5
1262,23
1264,116
1264,110
1265,116
1266,46
1267,23
1267,16
1268,39
1269,116
1269,25
1270,47
1271,116
1271,25
1273,116
1274,54
1275,116
1276,116
1278,116
1279,116
1280,21
1281,115
1282,46
1283,46
1284,116
1285,21
1285,116
1285,115
1286,101
1287,109
1288,115
1289,116
1291,115
1291,116
1292,46
1293,117
1294,46
1295,39
1296,46
1297,101
1298,116
1299,101
1301,116
1302,115
1303,116
1304,116
1305,116
1306,46
1307,116
1308,116
1309,115
1310,116
1311,116
1312,78
1313,115
1314,116
1315,116
1316,103
1317,46
1318,115
1319,116
1320,68
1321,63
1322,68
1323,103
1324,47
1325,116
1326,106
1327,86
1328,116
1329,116
1330,37
1331,116
1332,116
1333,116
1334,116
1334,19
1334,90
1335,24
1336,116
1337,37
1338,11
1339,103
1340,16
1341,109
1342,116
1343,101
1344,116
1345,52
1346,24
1347,86
1348,103
1348,13
1348,116
1349,116
1350,25
1351,116
1352,68
1353,116
1354,116
1355,21
1356,116
1357,116
1358,115
1359,116
1360,115
1360,116
1360,7
1361,85
1362,116
1363,21
1363,116
1363,37
1364,116
1365,116
1366,37
1367,87
1367,116
1368,116
1369,103
1370,116
1371,115
1372,116
1373,47
1374,111
1375,116
1376,116
1377,46
1378,116
1379,7
1379,116
1380,78
1381,116
1381,115
1384,21
1385,101
1386,54
1387,87
1387,103
1388,116
1388,37
1389,46
1389,116
1390,116
1391,115
1391,50
1392,116
1393,68
1394,116
1395,116
1396,116
1397,116
1398,115
1398,103
1398,116
1399,116
1399,110
1400,116
1401,116
1402,116
1403,116
1404,16
1405,116
1406,44
1406,116
1407,116
1408,116
1408,101
1409,116
1409,21
1410,116
1411,46
1412,116
1413,101
1414,47
1415,47
1416,116
1417,116
1418,5
1420,115
1421,116
1422,37
1423,46
1424,46
1425,21
1425,116
1425,22
1426,116
1427,46
1428,115
1429,46
1429,37
1430,46
1431,116
1432,111
1433,103
1434,47
1435,37
1435,21
1436,21
1436,44
1436,116
1438,116
1439,37
1440,116
1441,68
1441,116
1442,46
1444,116
1445,116
1446,79
1447,116
1448,116
1448,21
1449,116
1450,116
1451,116
1452,116
1453,116
1454,116
1455,116
1456,116
1457,116
1458,116
1459,115
1460,116
1461,68
1462,116
1464,21
1464,115
1464,116
1465,116
1466,116
1467,116
1468,115
1468,39
1468,37
1468,116
1469,101
1470,116
1471,116
1473,46
1474,116
1475,47
1476,47
1477,116
1478,116
1479,30
1479,116
1480,52
1481,115
1482,109
1484,101
1485,116
1486,116
1486,21
1487,116
1488,94
1489,37
1489,3
1490,46
1491,21
